Category,Symptoms,Range,Values,
Impact of COVID-19,Total,Average,24,
Impact of COVID-19,Total,LCL,23,
Impact of COVID-19,Total,UCL,26,
Impact of COVID-19,No or mild symptoms,Average,22,
Impact of COVID-19,No or mild symptoms,LCL,20,
Impact of COVID-19,No or mild symptoms,UCL,23,
Impact of COVID-19,Moderate to severe symptoms,Average,39,
Impact of COVID-19,Moderate to severe symptoms,LCL,34,
Impact of COVID-19,Moderate to severe symptoms,UCL,45,
The Environment,Total,Average,57,
The Environment,Total,LCL,55,
The Environment,Total,UCL,60,
The Environment,No or mild symptoms,Average,56,
The Environment,No or mild symptoms,LCL,54,
The Environment,No or mild symptoms,UCL,58,
The Environment,Moderate to severe symptoms,Average,64,
The Environment,Moderate to severe symptoms,LCL,59,
The Environment,Moderate to severe symptoms,UCL,69,
The conflict in Ukraine,Total,Average,72,
The conflict in Ukraine,Total,LCL,70,
The conflict in Ukraine,Total,UCL,74,
The conflict in Ukraine,No or mild symptoms,Average,72,
The conflict in Ukraine,No or mild symptoms,LCL,70,
The conflict in Ukraine,No or mild symptoms,UCL,74,
The conflict in Ukraine,Moderate to severe symptoms,Average,71,
The conflict in Ukraine,Moderate to severe symptoms,LCL,66,
The conflict in Ukraine,Moderate to severe symptoms,UCL,76,
Rising costs ofliving,Total,Average,78,
Rising costs ofliving,Total,LCL,76,
Rising costs ofliving,Total,UCL,80,
Rising costs ofliving,No or mild symptoms,Average,75,
Rising costs ofliving,No or mild symptoms,LCL,73,
Rising costs ofliving,No or mild symptoms,UCL,77,
Rising costs ofliving,Moderate to severe symptoms,Average,92,
Rising costs ofliving,Moderate to severe symptoms,LCL,90,
Rising costs ofliving,Moderate to severe symptoms,UCL,95,
